dataset,paper_model,paper_K,paper_hidden,paper_lr,paper_weight_decay,paper_mean_test_acc,paper_std_test_acc,paper_n_runs,paper_source_files,paper_models_available,paper_raw_models_available,jacobi_a,jacobi_b,jacobi_K,jacobi_mean_val_acc,jacobi_mean_test_acc,jacobi_std_test_acc,jacobi_n_seeds,jacobi_source_files,jacobi_K_values_available,has_paper_target,has_jacobi_target,paper_target_selection_rule,architecture_target_selection_rule,k_target_selection_rule,jacobi_target_selection_rule
Actor,BernNet,4,64,0.01,0.0,0.39489,0.004568114125836465,10,release/architecture_spatial_masks/Actor/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.4099999999999997,3.1099999999999985,4,0.3623684227466583,0.3752631574869156,0.0088813365276731,10,release/jacobi_spatial_masks/Actor/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
AmazonRatings,ChebGNN,4,128,0.005,0.0,0.50956,0.013395455282379237,10,release/architecture_spatial_masks/AmazonRatings/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.1099999999999997,3.9099999999999984,10,0.4659861147403717,0.4291428536176681,0.0025956152535196,10,release/jacobi_spatial_masks/AmazonRatings/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
CS,GPRGNN,10,64,0.01,0.0,0.95992,0.0016518003645854035,10,release/architecture_spatial_masks/CS/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",-0.99,-0.99,10,0.9570103645324708,0.9575245320796968,0.0017490728702023,10,release/jacobi_spatial_masks/CS/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Chameleon,BernNet,4,64,0.001,0.0005,0.35283,0.02711690944369912,10,release/architecture_spatial_masks/Chameleon/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",2.709999999999999,-0.1900000000000001,4,0.4707865208387375,0.2853932574391365,0.0463815028864848,10,release/jacobi_spatial_masks/Chameleon/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
CiteSeer,GPRGNN,4,64,0.001,0.0005,0.7685799999999999,0.0070471113073214625,10,release/architecture_spatial_masks/CiteSeer/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",-0.6900000000000001,-0.4900000000000001,4,0.8183734953403473,0.7497005999088288,0.0052202463129097,10,release/jacobi_spatial_masks/CiteSeer/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Computers,BernNet,10,128,0.005,0.0,0.92341,0.0028297820881945305,10,release/architecture_spatial_masks/Computers/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",0.4099999999999997,0.0099999999999997,4,0.9342545449733736,0.913517439365387,0.0027192386066772,10,release/jacobi_spatial_masks/Computers/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Cora,BernNet,10,64,0.01,0.0005,0.89521,0.008182426969494555,10,release/architecture_spatial_masks/Cora/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",-0.3900000000000001,-0.0900000000000001,10,0.9077777802944184,0.8827205955982208,0.0060298658486317,10,release/jacobi_spatial_masks/Cora/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Cornell,BernNet,10,128,0.005,0.0001,0.8947100000000001,0.024819456973198366,10,release/architecture_spatial_masks/Cornell/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",0.4099999999999997,-0.4900000000000001,4,0.85,0.7052631616592407,0.0536739022905737,10,release/jacobi_spatial_masks/Cornell/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Minesweeper,ChebGNN,4,64,0.01,0.0,0.8614,0.01106746985037181,10,release/architecture_spatial_masks/Minesweeper/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",2.9099999999999997,-0.99,10,0.8294000089168548,0.8268999993801117,0.0169141972112473,10,release/jacobi_spatial_masks/Minesweeper/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Photo,GPRGNN,10,128,0.005,0.0,0.94718,0.0022265069803019473,10,release/architecture_spatial_masks/Photo/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.5099999999999996,-0.79,4,0.9704575181007384,0.9491503298282624,0.0032258724036061,10,release/jacobi_spatial_masks/Photo/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
PubMed,GPRGNN,4,128,0.01,0.0,0.89939,0.004909050598412873,10,release/architecture_spatial_masks/PubMed/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",0.0099999999999997,-0.89,4,0.8810755908489227,0.8811454594135284,0.0025769340419289,10,release/jacobi_spatial_masks/PubMed/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Questions,BernNet,4,128,0.005,0.0,0.9727600000000001,0.0001837873166945136,10,release/architecture_spatial_masks/Questions/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.8099999999999996,-0.99,4,0.9711774587631226,0.9720008313655852,9.13901224860911e-05,10,release/jacobi_spatial_masks/Questions/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
RomanEmpire,ChebGNN,4,128,0.01,0.0001,0.83293,0.003564656754552634,10,release/architecture_spatial_masks/RomanEmpire/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.3099999999999994,2.31,10,0.7257281601428985,0.7026907801628113,0.003794581167056,10,release/jacobi_spatial_masks/RomanEmpire/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Squirrel,BernNet,10,128,0.005,0.0001,0.37803,0.018803962348398807,10,release/architecture_spatial_masks/Squirrel/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",-0.0900000000000001,0.3099999999999998,4,0.5058558493852615,0.3825112134218216,0.0139013437494184,10,release/jacobi_spatial_masks/Squirrel/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Texas,BernNet,4,128,0.01,0.0,0.81052,0.044393112578917496,10,release/architecture_spatial_masks/Texas/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",-0.89,-0.99,4,0.8833333373069763,0.6526315748691559,0.0349118522893403,10,release/jacobi_spatial_masks/Texas/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Tolokers,ChebGNN,4,128,0.01,0.0001,0.81273,0.006413362785795162,10,release/architecture_spatial_masks/Tolokers/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.6099999999999997,3.4099999999999984,10,0.7862127721309662,0.7858963429927825,0.0023112094580427,10,release/jacobi_spatial_masks/Tolokers/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
WikiCS,BernNet,10,128,0.01,0.0001,0.8421099999999999,0.0029497457517555876,10,release/architecture_spatial_masks/WikiCS/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",1.3099999999999994,-0.4900000000000001,10,0.8497435808181762,0.8215200662612915,0.0034793387447379,10,release/jacobi_spatial_masks/WikiCS/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
Wisconsin,BernNet,10,128,0.005,0.0005,0.85771,0.025939435871532267,10,release/architecture_spatial_masks/Wisconsin/summary.csv,"BernNet,ChebGNN,GPRGNN,JacobiConv","BernNet,ChebGNN,GPRGNN,JacobiConv",0.2099999999999997,-0.99,4,0.9639999985694884,0.7769230723381042,0.0448534816184105,10,release/jacobi_spatial_masks/Wisconsin/summary.csv,"4,10",True,True,best mean_test_acc among complete expected-run paper-massive configs,paper_model from the selected paper-massive config,paper_K from the selected paper-massive config,"best mean_val_acc among Jacobi a,b,K configs"
