epoch,val_acc
0,0.0547
1,0.0594
2,0.0769
3,0.1286
4,0.1996
5,0.2316
6,0.2436
7,0.2479
8,0.2496
9,0.2517
10,0.2556
11,0.2594
12,0.2641
13,0.2718
14,0.2842
15,0.2915
16,0.3051
17,0.3235
18,0.3432
19,0.3675
20,0.3966
21,0.4209
22,0.4440
23,0.4675
24,0.4872
25,0.4962
26,0.5124
27,0.5226
28,0.5278
29,0.5359
30,0.5419
31,0.5453
32,0.5457
33,0.5470
34,0.5496
35,0.5496
36,0.5479
37,0.5496
38,0.5496
39,0.5479
40,0.5504
41,0.5517
42,0.5509
43,0.5496
44,0.5538
45,0.5556
46,0.5568
47,0.5594
48,0.5611
49,0.5632
50,0.5692
51,0.5731
52,0.5774
53,0.5808
54,0.5821
55,0.5846
56,0.5902
57,0.5932
58,0.5974
59,0.6013
60,0.6051
61,0.6090
62,0.6111
63,0.6128
64,0.6145
65,0.6171
66,0.6197
67,0.6222
68,0.6274
69,0.6291
70,0.6312
71,0.6333
72,0.6350
73,0.6368
74,0.6397
75,0.6419
76,0.6453
77,0.6457
78,0.6500
79,0.6517
80,0.6538
81,0.6573
82,0.6598
83,0.6611
84,0.6628
85,0.6641
86,0.6654
87,0.6650
88,0.6675
89,0.6714
90,0.6718
91,0.6731
92,0.6735
93,0.6752
94,0.6782
95,0.6786
96,0.6808
97,0.6821
98,0.6850
99,0.6863
100,0.6897
101,0.6910
102,0.6923
103,0.6936
104,0.6949
105,0.6962
106,0.6962
107,0.6970
108,0.6974
109,0.6991
110,0.7000
111,0.7021
112,0.7021
113,0.7034
114,0.7051
115,0.7068
116,0.7090
117,0.7120
118,0.7137
119,0.7137
120,0.7141
121,0.7154
122,0.7175
123,0.7184
124,0.7197
125,0.7201
126,0.7226
127,0.7252
128,0.7256
129,0.7269
130,0.7291
131,0.7303
132,0.7321
133,0.7329
134,0.7342
135,0.7368
136,0.7368
137,0.7372
138,0.7385
139,0.7406
140,0.7423
141,0.7427
142,0.7440
143,0.7444
144,0.7479
145,0.7470
146,0.7479
147,0.7479
148,0.7483
149,0.7496
150,0.7496
151,0.7504
152,0.7513
153,0.7534
154,0.7556
155,0.7573
156,0.7577
157,0.7577
158,0.7594
159,0.7585
160,0.7573
161,0.7573
162,0.7585
163,0.7594
164,0.7611
165,0.7620
166,0.7628
167,0.7628
168,0.7637
169,0.7645
170,0.7650
171,0.7662
172,0.7650
173,0.7654
174,0.7654
175,0.7637
176,0.7637
177,0.7645
178,0.7654
179,0.7654
180,0.7654
181,0.7650
182,0.7658
183,0.7675
184,0.7697
185,0.7718
186,0.7726
187,0.7726
188,0.7735
189,0.7735
190,0.7739
191,0.7744
192,0.7735
193,0.7735
194,0.7731
195,0.7739
196,0.7735
197,0.7756
198,0.7765
199,0.7765
200,0.7769
201,0.7769
202,0.7769
203,0.7769
204,0.7769
205,0.7769
206,0.7782
207,0.7782
208,0.7799
209,0.7812
210,0.7812
211,0.7816
212,0.7812
213,0.7816
214,0.7825
215,0.7833
216,0.7838
217,0.7850
218,0.7863
219,0.7859
220,0.7859
221,0.7850
222,0.7859
223,0.7863
224,0.7859
225,0.7872
226,0.7885
227,0.7893
228,0.7906
229,0.7906
230,0.7897
231,0.7910
232,0.7902
233,0.7919
234,0.7919
235,0.7923
236,0.7932
237,0.7940
238,0.7940
239,0.7949
240,0.7949
241,0.7953
242,0.7966
243,0.7974
244,0.7970
245,0.7983
246,0.7996
247,0.8004
248,0.8009
249,0.8017
250,0.8021
251,0.8026
252,0.8034
253,0.8021
254,0.8021
255,0.8021
256,0.8026
257,0.8026
258,0.8017
259,0.8013
260,0.8026
261,0.8038
262,0.8043
263,0.8034
264,0.8030
265,0.8038
266,0.8043
267,0.8043
268,0.8056
269,0.8056
270,0.8056
271,0.8056
272,0.8056
273,0.8051
274,0.8056
275,0.8068
276,0.8077
277,0.8077
278,0.8090
279,0.8094
280,0.8098
281,0.8103
282,0.8098
283,0.8098
284,0.8107
285,0.8111
286,0.8115
287,0.8124
288,0.8145
289,0.8145
290,0.8141
291,0.8132
292,0.8124
293,0.8124
294,0.8132
295,0.8128
296,0.8132
297,0.8137
298,0.8137
299,0.8137
300,0.8132
301,0.8132
302,0.8137
303,0.8141
304,0.8141
305,0.8141
306,0.8145
307,0.8145
308,0.8145
309,0.8141
310,0.8141
311,0.8137
312,0.8137
313,0.8150
314,0.8154
315,0.8150
316,0.8145
317,0.8141
318,0.8141
319,0.8150
320,0.8145
321,0.8145
322,0.8150
323,0.8158
324,0.8179
325,0.8171
326,0.8167
327,0.8167
328,0.8171
329,0.8175
330,0.8175
331,0.8175
332,0.8184
333,0.8184
334,0.8188
335,0.8192
336,0.8184
337,0.8184
338,0.8184
339,0.8184
340,0.8188
341,0.8192
342,0.8184
343,0.8197
344,0.8197
345,0.8201
346,0.8201
347,0.8205
348,0.8218
349,0.8214
350,0.8218
351,0.8218
352,0.8214
353,0.8214
354,0.8209
355,0.8205
356,0.8201
357,0.8201
358,0.8214
359,0.8218
360,0.8222
361,0.8226
362,0.8226
363,0.8226
364,0.8231
365,0.8226
366,0.8226
367,0.8226
368,0.8226
369,0.8222
370,0.8222
371,0.8222
372,0.8222
373,0.8222
374,0.8222
375,0.8222
376,0.8222
377,0.8222
378,0.8222
379,0.8235
380,0.8226
381,0.8231
382,0.8231
383,0.8235
384,0.8235
385,0.8239
386,0.8239
387,0.8239
388,0.8235
389,0.8231
390,0.8226
391,0.8222
392,0.8222
393,0.8218
394,0.8218
395,0.8218
396,0.8222
397,0.8231
398,0.8235
399,0.8235
400,0.8235
401,0.8244
402,0.8256
403,0.8256
404,0.8256
405,0.8248
406,0.8248
407,0.8248
408,0.8248
409,0.8256
410,0.8256
411,0.8248
412,0.8248
413,0.8252
414,0.8252
415,0.8248
416,0.8248
417,0.8265
418,0.8265
419,0.8261
420,0.8261
421,0.8261
422,0.8261
423,0.8261
424,0.8261
425,0.8265
426,0.8274
427,0.8278
428,0.8282
429,0.8286
430,0.8291
431,0.8291
432,0.8299
433,0.8303
434,0.8303
435,0.8308
436,0.8303
437,0.8299
438,0.8308
439,0.8299
440,0.8303
441,0.8303
442,0.8303
443,0.8303
444,0.8308
445,0.8312
446,0.8312
447,0.8321
448,0.8321
449,0.8333
450,0.8329
451,0.8325
452,0.8333
453,0.8342
454,0.8342
455,0.8338
456,0.8338
457,0.8325
458,0.8338
459,0.8342
460,0.8342
461,0.8338
462,0.8342
463,0.8355
464,0.8355
465,0.8359
466,0.8346
467,0.8350
468,0.8346
469,0.8342
470,0.8342
471,0.8350
472,0.8359
473,0.8355
474,0.8359
475,0.8359
476,0.8363
477,0.8355
478,0.8350
479,0.8350
480,0.8350
481,0.8355
482,0.8350
483,0.8355
484,0.8350
485,0.8350
486,0.8350
487,0.8355
488,0.8350
489,0.8355
490,0.8350
491,0.8350
492,0.8355
493,0.8346
494,0.8342
495,0.8346
496,0.8342
497,0.8350
498,0.8346
499,0.8342
